bedrooms,bathrooms,area,lot_size,floors,age,garage,fireplace,renovated,neighborhood,distance_city,price,price_hilo
3,3.0,2909,4477.0,1,36,0,1,0,1,7.65,751670.0,0
2,2.5,1427,5610.0,1,15,0,1,0,0,24.89,427863.0,0
3,3.5,2342,4577.0,2,75,1,1,1,1,11.47,746713.0,0
4,5.0,2909,6767.0,2,39,1,1,0,0,15.83,856660.0,1
5,5.0,3971,3123.0,2,64,1,1,0,0,4.15,1137664.0,1
3,3.5,2399,5440.0,1,11,1,1,0,1,2.69,728577.0,0
3,3.5,2306,2173.0,1,49,1,1,0,1,4.42,698300.0,0
4,5.0,3047,3042.0,1,102,1,0,0,1,1.7,998111.0,1
4,4.0,3245,2309.0,1,102,1,1,0,0,14.38,795715.0,1
3,3.5,1754,12959.0,1,97,0,1,0,1,11.98,603598.0,0
4,4.0,2363,1754.0,2,106,1,0,0,0,19.07,550837.0,0
3,4.0,2576,2226.0,2,20,1,0,0,0,19.18,630906.0,0
4,5.0,3292,2017.0,1,55,0,0,0,1,6.44,829622.0,1
4,4.0,3238,2285.0,2,96,1,1,0,1,2.81,934675.0,1
6,5.0,4175,1808.0,2,117,0,0,0,1,3.93,1219747.0,1
2,3.0,1522,2474.0,1,26,1,1,0,1,2.81,509387.0,0
4,4.5,2955,5629.0,2,52,1,1,0,1,8.31,913722.0,1
3,3.0,2182,1740.0,2,65,0,0,0,1,6.16,655507.0,0
4,4.0,2976,4885.0,2,47,1,1,0,1,1.63,845002.0,1
3,3.5,2086,2078.0,3,108,1,0,0,1,11.4,579870.0,0
4,4.0,3123,3816.0,1,85,1,1,0,0,13.65,848130.0,1
3,3.0,2586,6156.0,2,82,1,1,0,0,13.63,715513.0,0
4,5.0,3080,5017.0,1,65,0,1,0,1,7.92,901731.0,1
3,3.0,2853,2316.0,2,21,1,1,0,1,5.42,862794.0,1
3,3.0,2116,1694.0,2,29,1,0,1,1,9.16,646285.0,0
3,3.5,2930,2881.0,2,24,0,0,0,0,15.89,813446.0,1
3,3.5,2352,4365.0,1,19,1,0,0,0,12.45,719094.0,0
4,4.0,2541,3730.0,2,98,1,1,0,1,10.7,775545.0,0
4,4.0,2191,3728.0,3,57,1,0,0,0,27.18,633763.0,0
4,4.0,3261,2019.0,1,39,1,1,0,1,8.21,801802.0,1
2,2.0,1409,7642.0,2,35,0,0,1,0,7.71,513979.0,0
6,5.0,4553,5308.0,2,9,0,0,1,0,13.82,1176768.0,1
4,4.5,3483,12999.0,2,75,1,0,0,0,16.78,965908.0,1
4,5.0,3149,1816.0,1,50,0,1,0,1,3.38,959292.0,1
4,4.0,3323,9966.0,3,51,0,1,0,1,9.09,969975.0,1
4,4.0,3162,6713.0,1,120,0,0,0,1,4.06,884127.0,1
4,4.5,2924,4408.0,1,62,0,0,0,0,18.08,768579.0,0
4,4.0,3502,6202.0,1,80,0,0,1,0,15.91,932334.0,1
4,4.5,3386,6642.0,3,89,1,1,0,0,12.07,906773.0,1
4,4.5,3748,1996.0,1,87,1,1,0,1,10.95,1079292.0,1
3,3.5,2335,7185.0,1,51,1,0,0,0,14.84,606091.0,0
5,5.0,4490,10364.0,2,32,1,1,0,1,2.81,1300085.0,1
2,2.0,2093,2269.0,2,47,1,1,0,1,14.02,542577.0,0
3,3.0,2325,1792.0,1,96,1,1,0,0,11.33,738050.0,0
2,2.5,691,2949.0,2,95,1,0,0,1,5.3,392130.0,0
5,5.0,4676,7489.0,1,48,1,0,0,1,10.27,1266751.0,1
2,2.0,1881,8475.0,1,108,1,1,0,1,4.05,710320.0,0
3,3.5,2624,7679.0,2,56,1,0,0,1,2.43,770602.0,0
3,4.0,2441,1856.0,2,23,1,1,0,1,8.4,804083.0,1
4,4.0,2819,1861.0,1,17,0,1,0,1,8.01,899111.0,1
5,5.0,3676,9161.0,1,93,0,1,0,0,15.48,969506.0,1
4,5.0,3339,3156.0,1,118,1,0,0,1,3.21,995411.0,1
4,4.5,3457,4406.0,1,78,1,0,0,0,11.2,926765.0,1
4,4.0,3363,1668.0,1,18,1,1,0,1,4.76,890534.0,1
4,4.5,3689,3364.0,3,28,0,1,1,0,10.72,1016609.0,1
3,3.0,1873,3373.0,1,85,0,0,1,1,8.11,563821.0,0
4,4.0,2786,2335.0,2,88,0,0,0,0,16.58,709291.0,0
2,2.0,2424,3649.0,3,8,0,1,1,0,25.42,564096.0,0
2,3.0,935,1840.0,1,12,1,1,1,1,8.06,409855.0,0
6,5.0,4598,1639.0,2,34,1,1,0,1,9.53,1260519.0,1
3,3.0,2630,2167.0,1,105,1,1,0,1,12.38,775992.0,0
4,5.0,3871,1722.0,1,49,1,0,0,1,5.9,1026423.0,1
4,4.0,2731,3162.0,1,90,0,1,0,0,17.05,753349.0,0
5,5.0,3492,1732.0,1,32,0,1,0,0,18.23,841334.0,1
3,3.0,2152,3149.0,2,79,1,1,0,0,22.2,576815.0,0
2,2.5,1822,3194.0,2,40,1,1,0,0,18.79,555621.0,0
4,4.0,3848,3301.0,2,46,1,1,0,0,16.56,991208.0,1
2,2.0,1476,5165.0,2,74,1,0,0,1,7.54,582511.0,0
5,5.0,3340,3964.0,2,32,1,0,1,0,5.75,900592.0,1
4,4.0,2778,1859.0,2,29,1,1,0,1,8.71,973962.0,1
4,4.0,2939,10273.0,2,21,1,1,0,1,8.51,761243.0,0
5,5.0,3509,1692.0,2,44,1,0,0,1,6.64,1055532.0,1
2,2.5,1709,1944.0,2,75,1,1,0,0,18.72,526935.0,0
3,3.0,1989,2560.0,1,49,1,1,0,1,12.16,578287.0,0
6,5.0,3908,4544.0,2,18,1,1,0,1,9.76,1068294.0,1
2,2.5,1806,6164.0,3,26,0,1,0,1,3.49,566058.0,0
4,5.0,3817,5409.0,1,123,0,0,0,1,8.15,991940.0,1
2,2.5,650,4341.0,1,43,1,0,0,1,2.27,371283.0,0
3,3.5,2381,5824.0,2,34,1,1,0,1,2.73,721158.0,0
4,5.0,3611,3660.0,2,119,1,1,0,0,10.4,1024498.0,1
3,3.5,2881,2217.0,2,124,1,1,0,0,17.61,822131.0,1
4,5.0,2694,2186.0,1,25,0,0,0,0,15.78,723329.0,0
3,3.0,2034,1870.0,2,26,0,0,0,1,7.06,666845.0,0
4,4.0,2983,1972.0,2,71,0,1,0,0,15.2,796285.0,1
4,4.5,2684,2696.0,1,2,0,0,1,0,10.43,702299.0,0
3,4.0,2150,9907.0,1,21,0,1,0,1,4.81,688145.0,0
2,2.5,1679,2135.0,1,104,0,0,0,0,6.17,401161.0,0
4,5.0,3890,1696.0,2,93,1,0,0,1,4.12,1071208.0,1
3,3.0,2438,2288.0,2,67,1,0,0,1,2.34,768904.0,0
2,2.0,1737,3105.0,1,16,1,1,1,0,13.28,434978.0,0
4,4.0,3412,2853.0,2,92,1,1,0,1,5.82,922279.0,1
3,4.0,3313,3244.0,1,17,0,1,0,0,14.94,891671.0,1
3,4.0,2612,5254.0,3,124,1,1,0,0,19.53,678609.0,0
5,5.0,3936,2016.0,2,44,0,1,0,1,8.7,1019949.0,1
5,5.0,3995,4749.0,1,12,1,0,0,1,3.83,1062821.0,1
2,2.0,1501,1523.0,2,99,0,0,0,1,4.18,574646.0,0
4,4.0,2196,4013.0,2,2,1,1,1,0,18.48,674175.0,0
6,5.0,3499,11133.0,3,26,0,0,0,0,6.45,995702.0,1
3,4.0,2181,3226.0,1,21,0,1,0,1,9.45,676321.0,0
3,3.0,2117,9918.0,2,3,1,0,1,1,3.55,707731.0,0
5,5.0,3470,1925.0,2,48,1,1,0,1,3.55,1022441.0,1
5,5.0,3673,2431.0,2,5,1,1,1,0,11.04,964515.0,1
5,5.0,3048,1835.0,1,30,1,1,0,1,10.5,835233.0,1
3,3.5,2066,2550.0,1,124,1,0,0,1,10.72,644715.0,0
3,3.5,3003,3268.0,1,77,0,1,0,0,11.59,783236.0,0
5,5.0,3520,8149.0,3,27,1,1,0,0,15.99,1040888.0,1
3,3.0,2672,2894.0,2,35,1,1,0,1,1.18,866439.0,1
3,3.0,2503,1570.0,1,10,0,0,1,1,5.66,817935.0,1
3,3.5,2509,7939.0,2,43,1,0,0,1,3.92,779945.0,0
4,4.5,3223,2000.0,1,77,1,0,0,1,2.96,857359.0,1
5,5.0,4087,2587.0,1,64,0,0,0,1,3.43,1071173.0,1
4,5.0,3367,5229.0,2,74,1,0,1,1,4.8,1063865.0,1
4,4.0,2862,3235.0,1,13,1,1,0,1,3.58,925027.0,1
4,4.5,3038,2393.0,2,92,1,0,0,0,19.08,829399.0,1
2,2.5,2031,12288.0,1,31,1,1,0,0,17.89,689907.0,0
3,3.0,1782,1973.0,1,114,1,1,0,0,22.17,505150.0,0
3,4.0,2703,1849.0,2,12,1,1,0,1,10.08,727330.0,0
4,4.5,3353,4022.0,2,30,1,1,0,1,4.17,972259.0,1
3,3.0,2800,8181.0,1,28,1,1,0,1,2.49,861543.0,1
4,4.0,3745,1807.0,2,26,1,1,0,1,9.56,940336.0,1
6,5.0,5111,8128.0,1,107,1,1,0,0,15.5,1267669.0,1
3,3.0,2142,3079.0,2,64,0,1,0,0,17.01,505246.0,0
5,5.0,3493,2090.0,2,104,1,0,0,1,6.97,918483.0,1
4,4.5,2555,1572.0,1,15,1,1,1,1,3.41,832347.0,1
5,5.0,4418,4879.0,1,115,0,0,1,0,19.1,1182305.0,1
3,3.0,2445,5361.0,2,115,0,0,0,1,8.32,763985.0,0
4,4.5,2678,2106.0,2,44,1,0,0,0,14.7,640428.0,0
3,3.0,2181,5692.0,1,58,1,0,0,0,19.73,593705.0,0
3,3.5,1978,1827.0,1,103,1,0,0,0,16.8,523685.0,0
4,4.0,3199,8160.0,2,3,1,1,1,0,20.4,909289.0,1
2,2.0,1824,1551.0,2,25,1,0,0,1,13.75,527027.0,0
3,4.0,2436,2782.0,2,68,1,0,0,1,8.97,691679.0,0
3,3.0,1896,1594.0,2,7,0,1,1,1,0.59,652282.0,0
4,5.0,4091,3907.0,2,122,1,0,0,1,3.59,1039098.0,1
4,4.0,2660,1914.0,2,26,1,0,0,1,7.95,832585.0,1
4,4.0,3788,1981.0,1,3,1,1,1,0,8.65,999302.0,1
3,3.0,2413,2328.0,1,86,1,1,0,1,13.07,701101.0,0
6,5.0,4275,2722.0,1,80,1,0,0,1,12.23,1058949.0,1
3,4.0,2596,4653.0,2,69,1,1,0,1,7.35,888396.0,1
3,3.0,2378,2813.0,2,21,0,1,0,1,0.5,612766.0,0
3,3.0,1988,1997.0,2,58,0,1,0,1,8.71,502778.0,0
3,3.0,1872,4548.0,2,30,1,1,1,1,0.85,758456.0,0
4,4.0,2885,3439.0,2,2,1,0,1,1,3.32,973310.0,1
4,5.0,3071,2471.0,2,38,1,1,0,1,3.29,850921.0,1
4,4.0,2738,1682.0,1,113,1,1,1,1,2.7,898648.0,1
3,3.5,2922,1539.0,1,104,1,1,0,1,7.83,817780.0,1
4,4.5,3586,12143.0,1,83,1,1,0,0,14.99,996867.0,1
5,5.0,4407,1864.0,2,43,1,1,0,1,1.71,1213357.0,1
4,5.0,2858,1592.0,1,32,1,1,0,1,1.66,791158.0,1
2,2.0,1830,1593.0,2,70,1,1,0,0,19.19,413673.0,0
3,4.0,2564,3626.0,2,121,1,1,1,1,9.14,756322.0,0
3,3.0,3148,6925.0,1,27,1,0,0,1,3.65,1016183.0,1
4,5.0,3329,2860.0,1,5,1,0,1,0,17.37,760901.0,0
4,4.0,2585,1819.0,1,29,1,0,0,1,10.3,733704.0,0
3,3.0,1854,5013.0,2,67,1,1,0,1,11.84,612632.0,0
4,5.0,3697,3285.0,2,33,1,0,0,0,24.05,848877.0,1
4,4.0,3528,1752.0,1,70,1,0,0,1,9.79,912306.0,1
3,3.0,1802,6476.0,3,75,1,0,0,1,1.8,706787.0,0
4,4.0,3310,3347.0,2,40,1,1,1,1,7.59,1003445.0,1
3,3.0,2305,4666.0,1,81,1,1,0,0,21.82,618869.0,0
4,4.0,3289,2805.0,1,77,1,0,0,0,17.39,854311.0,1
3,3.0,2287,1582.0,2,58,0,0,0,0,31.62,534366.0,0
4,5.0,3219,6457.0,1,115,1,0,0,1,5.83,932921.0,1
2,2.0,1549,2491.0,1,47,1,0,0,1,9.93,510173.0,0
3,3.5,2694,2503.0,2,106,1,0,0,1,15.84,722180.0,0
5,5.0,3829,7863.0,2,21,1,1,0,1,11.09,1066561.0,1
3,4.0,2479,3296.0,2,84,1,0,1,0,14.48,694883.0,0
4,4.0,2875,2085.0,2,74,1,0,0,1,11.52,787482.0,0
3,3.0,2933,18312.0,1,32,0,0,0,1,8.18,973554.0,1
5,5.0,3296,4496.0,1,84,0,0,0,1,2.6,1018620.0,1
2,2.0,1578,4620.0,2,69,1,0,1,0,9.61,572939.0,0
3,3.0,2340,2560.0,3,17,1,1,0,1,3.16,712556.0,0
4,4.0,2927,6148.0,1,95,1,1,0,0,17.65,773570.0,0
4,4.5,2805,1727.0,1,25,1,1,0,0,14.31,806820.0,1
2,3.0,2371,1566.0,1,22,1,1,0,0,16.39,651318.0,0
4,5.0,2930,2525.0,1,97,1,1,0,0,20.45,756773.0,0
1,1.0,1327,3172.0,2,68,1,1,0,0,15.32,303589.0,0
2,2.0,1575,3231.0,2,123,1,0,0,1,7.68,509933.0,0
3,3.0,1579,3782.0,1,36,1,0,0,1,3.54,588154.0,0
4,5.0,3292,4572.0,1,20,1,0,0,0,15.27,840729.0,1
3,4.0,3168,2347.0,1,64,1,1,1,1,7.09,913393.0,1
5,5.0,4474,3308.0,1,34,1,1,0,1,3.89,1189484.0,1
5,5.0,3112,3458.0,1,35,0,0,0,1,3.8,900679.0,1
3,3.0,961,8031.0,1,117,0,0,1,1,9.0,449987.0,0
3,4.0,2481,3238.0,2,67,1,0,0,0,15.63,674246.0,0
3,3.0,2080,3068.0,2,11,1,1,0,1,6.32,696494.0,0
5,5.0,3600,2554.0,2,73,0,0,0,1,7.18,1015767.0,1
5,5.0,3807,4336.0,1,123,1,0,0,1,3.81,1172516.0,1
4,5.0,3301,2763.0,1,53,1,1,0,1,5.59,843436.0,1
3,3.5,2361,4475.0,1,52,1,1,1,1,4.99,675250.0,0
4,4.0,3483,2649.0,2,103,0,0,0,1,4.0,994227.0,1
3,3.0,2582,3744.0,1,37,0,1,0,1,7.63,716454.0,0
3,3.0,2342,2566.0,1,8,1,1,1,1,11.74,764305.0,0
4,4.5,3507,7495.0,2,47,0,1,1,0,15.89,999172.0,1
5,5.0,3896,5233.0,2,43,1,0,0,1,11.27,965389.0,1
4,4.0,2518,2360.0,2,37,0,0,0,0,4.83,678221.0,0
4,5.0,3187,3342.0,2,37,0,1,0,1,9.61,980210.0,1
3,4.0,2200,6768.0,2,4,0,0,1,1,6.46,782112.0,0
3,3.5,3218,3979.0,2,20,1,1,0,0,15.36,842257.0,1
4,5.0,3379,3983.0,2,10,1,0,1,1,9.96,1001191.0,1
4,5.0,2235,2844.0,1,66,1,0,0,0,26.54,532326.0,0
4,4.0,3706,2532.0,2,68,1,1,1,0,15.35,936089.0,1
3,4.0,2945,2186.0,3,78,0,1,0,1,5.86,765148.0,0
4,4.0,3063,1578.0,1,35,1,1,1,0,8.7,847118.0,1
1,1.0,1063,2379.0,2,25,0,0,0,1,13.54,250000.0,0
4,4.0,2787,1827.0,1,17,0,1,0,0,16.69,634426.0,0
5,5.0,4019,3025.0,1,103,1,0,0,1,2.65,1177356.0,1
3,4.0,2596,1547.0,2,41,1,0,0,0,13.14,640344.0,0
4,4.5,2340,4467.0,2,44,1,1,0,0,17.38,677348.0,0
3,3.0,2291,2006.0,1,31,1,0,0,0,7.36,676698.0,0
1,1.5,600,1759.0,2,53,1,0,0,1,11.11,250000.0,0
4,4.0,2379,2352.0,2,22,0,0,0,1,9.34,780137.0,0
4,4.5,2859,2946.0,1,28,0,1,0,1,11.08,832346.0,1
3,4.0,2649,1949.0,1,52,1,0,0,1,3.32,821594.0,1
5,5.0,3571,6384.0,2,11,0,0,0,1,9.37,981962.0,1
3,4.0,2851,2488.0,1,35,1,1,0,1,0.5,957839.0,1
4,4.5,3328,3242.0,1,67,0,1,0,1,10.74,906798.0,1
2,2.5,1747,3907.0,1,10,0,0,1,0,6.52,562063.0,0
4,4.0,3317,1796.0,1,114,1,1,0,1,13.1,898541.0,1
3,3.0,1813,10781.0,2,14,1,0,0,1,8.73,645369.0,0
4,4.0,2523,9631.0,3,115,0,1,0,1,9.94,867959.0,1
1,1.0,790,2442.0,1,5,1,0,1,1,7.24,423204.0,0
4,4.0,3002,2300.0,1,30,1,1,0,0,10.92,728800.0,0
4,4.0,2912,1672.0,2,80,0,0,0,0,17.14,713777.0,0
4,4.0,2657,13446.0,1,28,1,1,0,1,3.35,943082.0,1
3,3.0,2022,2595.0,1,122,1,0,0,1,12.4,599935.0,0
4,4.5,3620,2588.0,1,77,1,1,0,0,16.99,1006723.0,1
1,1.0,600,1985.0,2,44,1,1,1,0,16.73,250000.0,0
3,3.0,1894,7073.0,1,18,1,0,0,0,13.12,619483.0,0
3,4.0,2053,1967.0,2,28,1,0,0,0,8.22,605417.0,0
5,5.0,3924,5727.0,3,47,0,1,0,1,2.45,1127473.0,1
3,3.5,2264,7257.0,1,39,0,1,0,0,11.75,645976.0,0
5,5.0,3538,1895.0,2,45,1,0,0,0,8.0,1014241.0,1
4,5.0,3602,2415.0,2,51,0,0,1,1,4.1,1000441.0,1
4,4.5,1844,3322.0,1,7,1,0,1,1,2.5,684634.0,0
5,5.0,3584,1733.0,2,47,1,1,0,1,3.86,1088263.0,1
4,4.5,2673,7896.0,1,99,1,1,0,0,13.02,798767.0,1
3,4.0,2980,7289.0,2,75,1,0,0,1,3.59,928742.0,1
2,2.0,1771,2736.0,2,41,0,0,0,0,29.35,415849.0,0
4,4.5,3337,1537.0,1,100,0,1,0,1,3.94,922107.0,1
5,5.0,3865,3269.0,1,28,1,0,0,1,8.83,993189.0,1
4,4.0,2750,2736.0,2,101,1,0,0,0,18.2,666788.0,0
3,3.5,2431,2848.0,1,27,1,1,0,0,9.87,621094.0,0
3,3.0,1848,3441.0,1,52,0,1,0,1,3.13,635636.0,0
2,2.0,1102,2081.0,1,39,1,0,0,0,13.74,396909.0,0
4,5.0,2696,2996.0,1,103,1,1,0,1,10.29,822232.0,1
3,4.0,1221,5482.0,2,52,1,1,0,1,9.75,512205.0,0
3,3.5,2803,4082.0,2,76,1,0,0,0,13.06,844467.0,1
6,5.0,4938,2919.0,1,10,1,1,1,0,19.67,1171296.0,1
2,2.5,1699,1777.0,1,35,1,0,0,0,30.44,343952.0,0
3,3.0,2219,3715.0,1,10,1,0,1,1,11.72,754143.0,0
3,3.5,1839,2147.0,1,63,1,1,0,1,1.43,677215.0,0
3,3.0,1864,2253.0,1,73,1,1,0,1,5.35,636415.0,0
3,3.5,1513,3525.0,2,50,1,0,0,1,0.5,610862.0,0
5,5.0,4371,6147.0,2,117,1,0,0,1,8.75,1193504.0,1
4,4.5,2627,2207.0,1,82,1,1,0,1,3.65,816716.0,1
4,4.0,2571,1619.0,1,21,1,0,0,1,2.94,811251.0,1
5,5.0,3831,2951.0,2,2,1,1,1,1,7.35,996013.0,1
3,4.0,2710,2092.0,1,15,1,0,0,1,5.04,846209.0,1
5,5.0,3984,4327.0,1,36,1,1,0,1,8.35,1164892.0,1
4,5.0,3430,8937.0,2,76,0,0,0,1,10.81,868966.0,1
2,2.0,1393,2894.0,2,75,0,1,0,1,8.9,517288.0,0
4,4.0,2432,4780.0,1,10,1,1,1,0,18.52,677064.0,0
3,3.0,2569,3125.0,2,108,1,0,0,1,2.47,810825.0,1
3,3.0,2513,2102.0,1,76,0,0,0,0,18.65,604189.0,0
3,3.5,2240,1955.0,1,69,0,0,1,1,2.64,661270.0,0
2,2.0,1964,3531.0,1,78,1,1,0,1,3.16,550774.0,0
3,3.0,2192,2100.0,1,12,1,1,1,0,12.92,651117.0,0
4,4.0,3102,1787.0,1,66,1,0,0,1,3.32,878377.0,1
5,5.0,3814,2440.0,1,71,1,0,0,1,6.47,1102441.0,1
5,5.0,4125,2682.0,1,116,0,1,0,0,23.09,989269.0,1
4,4.5,3216,3065.0,1,86,1,0,0,1,11.13,838433.0,1
4,4.0,2844,4521.0,1,108,0,1,0,1,7.05,915458.0,1
6,5.0,3894,2501.0,1,99,0,0,0,1,7.78,1004026.0,1
5,5.0,3550,3404.0,2,47,0,1,0,1,4.02,1040063.0,1
5,5.0,3701,2510.0,2,67,1,0,0,1,4.16,1029035.0,1
3,3.5,2724,2399.0,2,59,1,0,0,0,8.59,685053.0,0
4,5.0,3902,6515.0,2,38,1,1,0,1,12.72,1137086.0,1
3,4.0,2473,4420.0,2,58,0,1,0,0,10.66,735567.0,0
5,5.0,3878,3307.0,1,34,1,0,0,1,6.02,1040751.0,1
3,4.0,2608,2565.0,1,119,1,0,0,1,7.89,808388.0,1
4,5.0,3203,1686.0,1,81,1,1,0,0,17.42,835398.0,1
3,3.0,1885,3831.0,1,48,1,1,0,1,3.52,586114.0,0
4,5.0,3416,5546.0,1,62,1,1,0,1,6.58,993525.0,1
3,3.0,2821,5243.0,2,94,1,1,0,0,13.81,719933.0,0
4,4.0,3184,2248.0,1,118,1,0,0,1,7.75,906955.0,1
3,3.0,2311,2873.0,1,104,1,0,0,0,15.82,560516.0,0
4,4.0,3316,2664.0,1,20,1,0,0,1,12.41,876645.0,1
