"reported_date_time","summary"
2021-07-25 05:50:00,"While driving my son noticed a black cigar shaped object above/over over the moon - i pulled over and we watched it move slowly from to"
2021-07-24 05:45:00,"Mysterious, cigar-shaped aluminum floating object (with no wings or propellers) drifted directly over our car right in front of us."
2021-07-22 01:00:00,"Tic-Tac shaped, wingless and no propulsion in the evening."
2021-07-07 19:45:00,"Strange ""blimp-like"" object seen hovering over desert where military practice."
2021-07-04 23:25:00,"flying and hovering craft from southwest moving north east, craft disappeared after approximately 30 seconds, flight was captured on fi"
2021-06-16 20:30:00,"Bright white object seen during the day. 20 minutes later large cigarshaped UFO flies by."
2021-06-13 16:51:00,"Unusual aircraft only in mornings"
2021-06-03 05:00:00,"I was in my grow room approximately 11:15 at night. I was trimming my plants and watering them.I looked over to the left of the grow te"
2021-06-03 05:00:00,"I was in my grow room approximately 11:15 or so. I was trimming my plants and watering them.I looked over to the left of the grow tent,"
2021-05-31 09:20:00,"Extremely fast, bright cigar shaped object moving horizontally from south to north. Had a short light trail behind it."
2021-05-28 19:10:00,"Cylinder shaped object at mid-day in clear weather moves slowly across sky and disappears."
2021-05-23 22:30:00,"My passenger and I were driving to Independence, and were in the straight stretch of road right before the base of the bridge, about a"
2021-05-18 07:00:00,"Saw cigar shaped whitish/blue object with pulsing white and blue lights in sky near home depot in Corvallis, Oregon"
2021-05-16 16:05:00,"Large dull white cigar or disc hovered, gradually glided east where it vanished as if the night sky absorbed it, it made no sound"
2021-05-16 04:03:00,"Cigar shaped light like a dull fluorescent bulb flying north of Syracuse, NY."
2021-05-16 05:36:00,"Long and narrow illuminated craft flying high and somewhat slowly over Oregon (5-15-21, 22:36); 4 whitnesses"
2021-05-16 05:35:00,"Oblong white light travelling west to east slowly in northern sky's of Vancouver, Washington"
2021-05-16 05:35:00,"Series of lights that appeared to be coming from a solid cigar object (but could have had more depth) slowly traveling west to east."
2021-05-15 04:30:00,"Cigar shaped craft seen northwest of Eugene at 9:30pm on May 14th"
2021-05-10 18:00:00,"Metallic tic tac appears hovering over the water and moves off silently on a sunny summer day"
2021-05-06 04:05:00,"Approximately 60 aircraft lined up like a train flying  south to north."
2021-05-05 02:55:00,"I saw a string of lights in an absolute straight line flying silently across the sky from West to E.  ((Starlink satellites??))"
2021-05-03 21:35:00,"Saw a stationary black craft twice as big as airplane."
2021-04-30 12:10:00,"My friend and I arrived at Clearwater Lake for a fishing trip. I noticed a capsule shaped silver colored object across the lake in the"
2021-04-20 00:30:00,"Crazy cigar shaped glowing object in suburban PA.  It glowed and hovered for at least 10 minutes, my dog was very disturbed."
2021-04-09 02:00:00,"Multiple flying objects at different heights but in same general area.  Some move throughout the sky but others seem to stay stationary"
2021-04-08 01:45:00,"((NUFORC Note:  Witness provides no information about sighting.  PD))"
2021-04-05 02:30:00,"It was seen coming out north north west heading south southwest and then turned and headed East southeast.

 The craft was bright blu"
2021-03-29 00:26:00,"Driving down road, UFO passes overhead flying at 125 yards. And disappeared into the clouds."
2021-03-28 17:00:00,"I captured two ufos on my phone."
2021-03-26 04:00:00,"((NUFORC Note:  Witness provides no detailed information.  PD))"
2021-03-26 02:45:00,"Large cigar shaped, low flying craft with solid lights spotted in Peoria, AZ"
2021-03-26 02:40:00,"Update to Peoria report 03/25/2021"
2021-03-26 02:40:00,"Large  object with multiple white lights- Peoria Az"
2021-03-24 13:10:00,"Square lights moving across the sky.  ((Starlink satellites??))"
2021-03-14 13:05:00,"Cigar shaped ufo with lights across the whole thing. Came from the south going NW.  ((Falcon 9 launch.))"
2021-03-09 03:40:00,"4 lights speed across the sky in a way that planes can't.  ((Starlink satellites??))"
2021-03-05 17:00:00,"I was on 216 headed twords RT 3, I saw a metal tick tack shaped object. I lost it's view because of the tree line. I turned right into"
2021-03-04 13:00:00,"Huge cigar shaped craft with multible bright white lights silently flew directly over house"
2021-03-01 05:15:00,"Bright, fast bar of light in the sky in Southern CA on 2/28/21 at 9:15PM"
2021-02-25 13:50:00,"Bright cigar shaped object"
2021-02-05 00:20:00,"Feb. 4 2021 Irving, Tx. 2 600 ft cigar shaped grey / transparent flying in formation 1000mph+ 10 planes near object by DFW airport"
2021-02-04 11:08:00,"Silver/Blue cigar shaped hoovering over the lake from west to east"
2021-01-20 02:19:00,"Cigar shaped craft with a trail behind it"
2021-01-17 17:33:00,"UFO over Manhattan"
2021-01-16,"Myself abd a friend were just cleaning up our tools and material after fishing up working on my roof when we both noticed this HUGE cig"
2021-01-09 13:32:00,"Linear strand of approximately 5-10 white lights moving quickly and silently across the sky"
2021-01-07 23:31:00,"It was really loud and i first thought it was a helicopter or something like that but when i checked my app Flightradar24 there was no"
2021-01-03 23:00:00,"White cigar shaped object over DIA or Buckley Air force base"
2021-01-03 03:30:00,"It was follow a air plain high in the West sky,red in color,  no sound, then it sorry off passing the plain, then it was gone, but the"
2021-12-28 22:30:00,"Occur 5:30 pm hovering over and flying across sky back and forth"
2021-12-28 04:00:00,"Driving we saw object seemed to.have two extremly bright lights one on easch end of the craft was low enuff to.see framework"
2021-12-27 02:30:00,"A loud noise caught my attention to look out my window to see that there was a large circular shaped object hovering over apt complex"
2021-12-26 23:45:00,"A bright, pulsing, unmoving object hovered over my neighborhood for fifteen minutes before slowly flying away."
2021-12-24 22:48:00,"I did not see the ufo until I was viewing pictures of the sunset on the evening of Christmas Eve."
2021-12-24 04:30:00,"Ball of light caught on video"
2021-12-20 05:30:00,"Object appeared shot towards the ground & took a sharp right turn before disappearing"
2021-12-17 08:30:00,"unknown floating object recorded by Ring Indoor Camera"
2021-12-14 11:00:00,"Object appeared, grew in size and brightness, reduced size and brightness then began to move."
2021-12-14 05:30:00,"A distant glowing object rapidly descending downward"
2021-12-12 22:52:00,"A bright round object streaked across the sky and disappeared"
2021-12-12 05:00:00,"circle with blinking lights."
2021-12-11 04:45:00,"It was 9 to 12 Orange Balls moving southwest"
2021-12-09 09:00:00,"The object was distinctively different than the surrounding stars."
2021-11-17 01:45:00,"We went outside and saw a bright light that wasnt moving over Oquirrh Mountains. It wasnt a star because it was too bright and big. W"
2021-11-15 06:00:00,"A low flying, silent craft I could see inside of, one silver clad human shape, a red chair. Door opening and closing."
2021-11-13 22:35:00,"I witnessed what appeared to be a flying disk hovering and what appeared to be a projectile fired at it."
2021-11-12 16:00:00,"2 identical circular orange spheres traveling approximately 30 sec apart!"
2021-11-12 04:30:00,"A triangular shape of 200 white transparent lights flew East in about 4 seconds."
2021-11-11 23:30:00,"As I went outside to get a coffee from my girlfriend who was about to pull up to her house around 730pm I looked up into the sky and sp"
2021-11-08 02:52:00,"Unexplained round aerial object with no observable audible emissions observed."
2021-11-05 22:08:00,"Round object with flashing lights."
2021-11-02 21:00:00,"Several have been just sitting and I think they are communicating to each other with their blinking"
2021-11-02 12:03:00,"2 large spheres extremely bright white, 1 large sphere orange Video Captured Movement of Rings When Zoomed"
2021-11-01 01:57:00,"I have 2 mins of it and still can't explain it"
2021-10-30 23:10:00,"Driving on Holly Springs Rd, my wife & I saw an object flying just above the treetops. Object was circular, approximately 30 ft in circ"
2021-10-29 17:25:00,"Shiny metallic craft in morning sunlight"
2021-10-29 17:25:00,"Shiny metallic craft in morning sunlight."
2021-10-26 00:24:00,"Big bright blue crystal ball-like light with aura emitting sound"
2021-10-26 02:00:00,"Aliens in my attic?!"
2021-10-22 01:30:00,"8 Red Lights Observed"
2021-10-19 07:11:00,"I'm a School Counselor in a public high school. I was driving on the NJ Garden State Parkway going south around 3:00PM. Around 3:10 I n"
2021-10-19 01:43:00,"Blue and white circular ball falling to earth spotted in Northern California"
2021-10-14 21:14:00,"I was in my back yard playing with the dogs and noticed a small aircraft going in circles. I thought man he is having fun and then I ca"
2021-10-11 00:13:00,"It was a clear night ,  I was searching to locate  Venus with  my sky master pro binoculars, I saw in my view a flying objet ,  it was"
2021-10-08 04:38:00,"I saw what I thought was a bright star outside my apartment. That thing followed me in my work truck staying on my side of the truc"
2021-10-06 04:30:00,"Mr.  Davenport, First of all, I have absolute respect for you.  I have been a regular listener of Coast to Coast AM since the late 1990"
2021-10-06 02:45:00,"Stationary Star-like objects over Los Angeles (second sighting)"
2021-10-01 11:18:00,"Rotating in circles"
2021-09-30 18:00:00,"White Balloon Objects moving across sky"
2021-09-29 01:00:00,"white round objects, later a flash of bright red light"
2021-09-24 01:45:00,"Yellow circular and semi-circular object bouncing up, down and sideways in a fast and non-directional motion"
2021-09-20 23:20:00,"Went outside to watch the space station go overhead saw a dot in the south southeast sky from Waterville Maine. Looked at it through th"
2021-09-19 17:45:00,"Light orange colored disk traveling at rapid speed and low altitude."
2021-09-18 04:25:00,"Circles and in wierd positions"
2021-09-16 23:45:00,"While stopped at red light, we observed 4 bright white round objects in the western sky that seemed to be hovering. ((Contrails?))"
2021-09-16 01:47:00,"Circular white object moving west across sky"
2021-09-16 01:45:00,"Rounnd white light moving SW to NE. Stopped, hovered, jogged back turned pink and then turned red and shot straight up"
2021-09-15 13:30:00,"Looked up at a piper plane traveling south of my home. As I looked at it to the west a beam of light, like headlights lit up a pathway"
2021-09-13 04:30:00,"Circular object in NE night sky with geometric pattern in center. Michigan 09/13/2021"
2021-09-12 06:06:00,"i was sitting in the car and i caught something bright out of the corner of my eye and my first thought was to record so i did."
2021-09-11 08:30:00,"On September 11, 2021 I was awoken with the sprinkler system turning on at 4:20 AM. A beam of light coming down from the sky shined int"
2021-09-03 02:40:00,"I saw one object with dotted green and red lights. There were 3 green and 2 red lights that were blinking rhythmically. The entire obje"
2021-08-29 07:30:00,"Saucer shaped craft surrounded by pulsating, expanding and contracting white and green light followed me and wanted me to see it."
2021-08-29 00:45:00,"White reflective sphere about the size of a star seen in the daylight hours"
2021-08-26 22:35:00,"White round object around airplane level in the sky jumped around in zig-zag pattern like a mouse cursor, hovered, and disappeared."
2021-08-24 02:00:00,"Unexplained lights over New Jersey."
2021-08-24 00:49:00,"On August 23, 2021 at 23:49 I witnessed one single, circular, brilliantly glowing light cruising the night sky. It was very intensely g"
2021-08-23 08:00:00,"Happened while smoking a cigarette at 2am.i could literally sense something in the sky above my house. I stared in the area I suspected"
2021-08-22 19:45:00,"Cluster of potential UFOs"
2021-08-22 05:47:00,"1 ball turned into 2 balls."
2021-08-21 22:31:00,"Circular object with changing lights as movement changes"
2021-08-21 13:30:00,"Circular craft/light moving like a tire"
2021-08-18 02:30:00,"Hovered at 15 ft , underside had dozens of red lights surrounded by white lights"
2021-08-15 03:59:00,"Bright white light in the sky"
2021-08-14 07:35:00,"2 witnesses in ada oklahoma see circular ufo"
2021-08-14 03:03:00,"i saw ufo change color and shape and have 29 seconds on my iphone videos"
2021-08-06 22:00:00,"Saw round white object in sky"
2021-08-05 23:18:00,"Spinning silver object seen by two on a clear summer night."
2021-08-04 00:45:00,"Red flaming object shot across the sky"
2021-08-02 00:21:00,"Sitting outside with my wife watching a pretty cloud formation near sunset. The top of the cloud was really bright so I thought I would"
2021-07-31 10:36:00,"For a whole month strange lights had kept appearing in the sky almost directly above me for a whole month."
2021-07-23 01:30:00,"Green circular object over Point Pleasant Beach, NJ"
2021-07-19 23:35:00,"Several round white object sight near my flight traveling in opposite direction at a high rate of speed."
2021-07-09 04:00:00,"((NUFORC Note:  Witness provides no detailed information about sighting.  PD))"
2021-07-09 04:00:00,"On this date and time my children and I seen a green light in the southern sky at a 35 degree angle from our visual , than it stoped fo"
2021-07-08 03:30:00,"dancing white dot high in eastern sky"
2021-07-07 06:00:00,"Ufo sightings and Mufon is also investigating."
2021-07-07 04:17:00,"My boyfriend and I were outside when we saw a red light in the sky. The light was bright, did not move until it shot upward & vanished."
2021-07-06 18:40:00,"Round orange shape that was bright and would have no light to it for minutes at a time Nd then eventually just was gone. Seemed to have"
2021-07-05 06:53:00,"Saw in the sky three star sized lights moving rapidly and smoothly in a reverse triangle formation. Checked my phone compass and looks"
2021-07-05,"Me and sister saw, didnt know what it was and it shot back into clouds."
2021-07-01 21:24:00,"Spherical UFO flies behind the US capitol building."
2021-06-28 02:50:00,"Bright, possibly spinning object videoed traveling east to west at a steady rate in late evening."
2021-06-27,"White circle, above clouds, moving slowly against wind"
2021-06-21 01:52:00,"Round dark silhouette with bright orange light moving different directions"
2021-06-20 09:12:00,"3 Orange lights seen on College road in Wilmington, NC."
2021-06-18 08:20:00,"1:20 am Huge Orange Circular Craft over the SE skies of Oakland CA"
2021-06-18 05:00:00,"Multiple slow moving craft seen all over the sky during early morning hours."
2021-06-17 16:00:00,"At 11:50 am on june 17 2021 i seen a jet aircraft flying at around 30000 ft . About a minute later i seen a black circle object flying"
2021-06-17 16:00:00,"Giant black circular object peeping in and out of back of weird Grey storm cloud"
2021-06-16 02:45:00,"Small white circle near the moon, very slowly moving north, then disappeared."
2021-06-12 04:00:00,"3 of us saw 3 bright circle lights in sky at midnight. I went to bed woke up at 2:30 look out restroom window and saw 1000s of white tw"
2021-06-12 03:30:00,"UFO sitting in NWI"
2021-06-11 02:30:00,"Large bright orange disk or sphere seen at night hovering and crossing the lake outside our summer camp."
2021-06-03 15:30:00,"Large orange reddish circle floating still above homes."
2021-06-02 04:45:00,"I saw a white solid light moving from northwest to south East.

The craft made movements kind of from side to side. Unnatural to a wi"
2021-05-31 07:06:00,"Softball size lighted object with black strap hovering over garden 4ft from my bedroom window."
2021-05-31 02:00:00,"Notice a light flashing in the mountain. Blue then red. It's wilderness area no roads or homes. Started watching it and began to move f"
2021-05-30 21:55:00,"Craft seen in the sky and video taped."
2021-05-29 01:12:00,"Unidentified flying object over Ft Lauderdale, Florida.  ((NUFORC Note:  Rport fro experience pilot.  PD))"
2021-05-28 03:00:00,"A string of lighted objects in a perfect straight line silently went right over us heading east.  ((Starlink satellites??))"
2021-05-28 00:45:00,"It was definitely above the scattered clouds that night and strange as it may seem to say I had the feeling it knew I was looking at it"
2021-05-27 10:46:00,"Tiny white light spec during sunrise"
2021-05-24 01:30:00,"4 flying objects seen from my back yard"
2021-05-23 04:44:00,"Long line of lights moving silently across the sky."
