"click","age","gender","device","browser","time_on_site","pages_visited","ad_position","ad_type","is_weekend","user_logged_in","past_click_rate","ad_relevance_score"
1,21,2,2,3,156,3,1,4,1,0,0.038,7
0,53,2,2,3,196,6,1,3,0,1,0.068,5
0,32,1,2,1,110,3,3,1,0,1,0.177,9
0,41,1,2,4,75,4,3,1,1,0,0.158,3
1,29,2,2,2,220,2,1,2,0,1,0.105,6
0,62,1,1,1,226,2,3,2,0,1,0.171,2
0,19,1,1,1,274,3,1,4,0,1,0.018,1
0,44,1,2,2,151,5,3,3,0,1,0.197,8
1,22,2,2,1,165,6,1,2,0,1,0.16,4
1,52,3,1,3,155,5,1,3,0,1,0.187,5
1,20,2,2,1,184,3,3,2,0,0,0.125,7
0,23,1,1,1,82,5,2,3,0,1,0.087,9
1,31,2,1,1,85,4,3,1,1,0,0.176,1
0,56,1,2,1,84,6,1,1,0,1,0.013,10
0,52,1,1,2,277,10,1,3,1,1,0.029,3
0,48,2,2,5,228,2,1,3,0,1,0.042,10
0,54,3,1,4,150,6,2,4,0,1,0.17,5
1,24,2,1,2,169,0,1,4,0,1,0.046,10
1,63,1,1,1,264,4,1,1,1,0,0.021,5
1,63,1,3,4,124,2,2,2,0,1,0.129,4
1,59,2,2,2,185,7,1,3,0,1,0.005,8
0,65,2,1,3,116,6,1,1,0,1,0.085,8
0,32,1,2,5,142,2,3,1,0,1,0.107,4
0,35,1,1,2,197,5,2,1,0,1,0.1,1
1,51,1,1,4,201,1,1,3,0,0,0.059,8
1,47,2,1,1,126,1,1,1,0,1,0.095,4
1,55,1,1,1,166,3,2,2,0,1,0.168,2
1,33,2,1,5,128,3,2,1,0,1,0.048,10
1,28,1,1,1,243,3,1,1,1,1,0.012,9
0,42,2,1,1,83,8,1,2,1,0,0.145,6
1,27,2,2,2,171,3,1,1,1,1,0.017,8
0,33,2,1,4,178,2,3,2,1,1,0.049,7
1,60,2,2,3,102,2,1,4,0,0,0.173,7
1,59,2,2,4,257,5,1,4,0,1,0.174,7
1,63,2,2,2,122,1,2,4,0,1,0.19,10
0,60,1,2,2,45,3,2,4,0,0,0.153,2
1,36,1,3,1,245,1,1,3,1,1,0.083,6
0,59,1,1,3,170,3,1,1,0,1,0.131,2
0,30,2,1,1,136,6,1,3,0,1,0.057,1
0,29,2,1,3,207,5,2,3,0,1,0.083,7
1,18,1,2,1,89,5,1,4,1,0,0.113,7
0,53,2,1,1,143,3,1,1,0,0,0.148,10
0,47,2,1,1,100,0,1,1,0,0,0.073,1
1,66,2,1,2,162,5,3,4,0,1,0.081,6
0,64,2,2,1,95,3,2,4,0,1,0.178,3
1,32,2,1,1,102,4,2,2,0,1,0.12,8
0,34,2,2,1,211,5,3,4,0,0,0.123,5
1,56,1,1,2,223,5,3,1,0,1,0.1,7
1,45,2,1,3,204,3,2,4,1,1,0.089,9
0,56,2,2,1,76,4,1,1,1,0,0.177,9
0,30,1,2,1,231,3,3,1,0,0,0.136,4
0,36,1,2,1,227,5,2,1,0,1,0.087,4
0,67,2,2,3,196,7,3,1,0,0,0.184,10
0,61,1,1,1,179,7,3,2,0,1,0.174,4
1,60,2,1,1,305,3,1,1,0,1,0.03,8
0,57,1,1,2,169,1,2,1,1,1,0.161,2
0,46,2,2,2,136,6,1,4,1,1,0.169,3
0,40,1,1,1,232,9,3,3,1,0,0.19,2
0,67,1,1,1,147,10,1,4,0,0,0.183,8
0,55,1,1,1,96,1,1,1,1,1,0.104,10
0,47,2,1,3,100,4,3,3,0,0,0.064,5
0,39,1,2,2,206,6,3,4,0,1,0.063,10
0,46,3,2,4,141,1,1,1,1,0,0.053,8
0,54,1,1,2,120,2,2,2,0,0,0.014,4
0,49,3,2,5,151,5,3,3,0,0,0.181,8
1,55,2,1,1,183,3,1,1,0,0,0.167,9
0,44,1,3,2,256,6,2,2,0,1,0.17,2
0,63,1,1,1,158,7,2,1,1,0,0.095,2
0,69,2,1,1,140,5,2,4,0,1,0.14,2
0,69,2,3,3,127,4,1,1,1,0,0.141,8
1,32,1,2,3,169,1,3,2,1,1,0.133,9
1,30,2,1,4,272,3,3,1,0,1,0.186,3
1,32,1,2,1,215,2,1,1,0,0,0.148,9
0,55,2,2,3,119,6,1,4,1,1,0.068,2
1,29,1,2,3,181,3,3,3,0,1,0.046,4
0,37,2,1,1,147,3,2,1,0,0,0.079,3
0,60,1,1,1,231,7,1,1,0,0,0.108,10
0,64,1,1,1,33,4,2,4,0,1,0.024,3
0,27,1,1,4,247,3,2,4,0,1,0.017,5
0,52,2,2,1,251,2,1,4,0,1,0.048,4
1,60,2,2,1,157,5,2,1,0,1,0.145,10
0,28,1,2,5,108,3,1,3,0,1,0.178,7
0,40,2,2,3,330,1,1,1,0,1,0.045,9
1,41,2,1,2,116,4,2,1,0,1,0.138,9
0,35,1,1,2,109,1,1,2,0,1,0.162,4
1,67,2,3,1,128,4,3,4,0,0,0.074,6
0,23,2,1,2,205,4,2,1,0,0,0.03,1
0,31,2,1,1,245,2,1,3,1,1,0.064,3
0,55,2,1,2,146,3,2,1,1,1,0.061,8
0,50,1,1,1,197,3,1,4,0,0,0.151,9
1,41,2,2,2,261,1,1,1,1,0,0.058,4
1,46,2,2,2,238,1,1,1,0,0,0.06,9
0,66,1,2,3,231,2,1,1,1,0,0.003,7
0,25,1,2,1,164,1,3,2,0,1,0.096,9
1,30,2,1,1,247,7,2,2,0,1,0.17,6
0,28,2,1,3,148,4,3,3,0,0,0.124,5
0,56,1,1,1,259,3,3,4,1,1,0.121,2
0,62,1,1,1,313,2,2,1,0,0,0.09,5
1,26,1,1,3,209,1,1,3,0,1,0.027,6
0,40,1,2,1,109,6,2,3,1,0,0.076,3
0,24,2,2,1,171,7,3,4,0,1,0.146,7
0,37,1,1,3,335,3,3,3,1,1,0.083,4
0,23,1,2,3,186,8,2,2,0,1,0.108,3
0,35,1,1,1,125,7,3,3,1,0,0.134,2
1,21,2,1,3,179,4,3,3,1,1,0.009,3
1,33,2,1,2,176,2,2,4,0,1,0.176,9
0,46,1,1,2,176,4,2,3,0,0,0.121,7
1,54,2,1,4,247,2,3,1,0,1,0.109,10
1,56,1,1,1,244,5,2,3,1,1,0.175,9
0,62,1,3,2,155,10,1,1,0,0,0.142,5
0,70,1,2,1,282,2,3,3,1,1,0.059,3
0,52,1,1,3,252,3,3,3,0,1,0.154,7
0,32,1,1,1,134,4,1,3,1,1,0.129,9
0,51,1,2,2,173,3,2,3,1,1,0.153,4
0,62,1,1,5,149,7,1,3,0,0,0.083,8
1,28,2,1,4,186,3,1,2,0,1,0.194,10
0,24,1,2,1,170,6,1,2,0,0,0.011,1
0,35,1,2,1,145,3,1,3,1,0,0.199,10
0,18,2,1,1,164,1,1,1,0,1,0.1,3
0,58,2,1,1,85,5,2,4,1,0,0.096,4
0,38,1,2,1,76,5,2,1,0,1,0.089,5
0,60,1,1,2,174,3,2,4,0,0,0.113,5
0,58,2,3,1,214,5,2,1,0,1,0.176,5
0,54,2,1,4,106,1,2,2,0,0,0.012,4
0,68,1,2,5,158,6,1,4,1,0,0.042,5
0,20,1,1,1,234,3,2,4,1,0,0.001,1
0,48,1,1,1,156,6,1,4,0,0,0.012,5
0,63,2,1,1,111,5,1,2,0,1,0.089,2
0,24,1,1,5,268,2,3,1,1,1,0.145,1
0,44,3,3,1,100,3,1,1,0,0,0.126,6
0,52,2,1,1,105,4,2,3,0,1,0.189,2
0,52,1,3,2,213,7,2,1,0,0,0.177,3
0,62,1,2,1,240,5,2,1,0,1,0.066,7
0,31,3,1,1,212,9,1,3,0,0,0.168,6
0,26,1,1,1,219,4,2,1,1,0,0.018,1
0,64,1,1,3,235,4,1,2,1,1,0.126,6
0,63,1,2,2,266,2,1,3,0,0,0.069,8
0,55,2,1,1,83,3,3,3,0,1,0.082,3
0,58,2,1,1,102,5,1,2,0,0,0.055,6
0,60,2,1,4,228,2,1,1,1,0,0.167,8
1,19,2,1,1,147,6,2,2,1,0,0.013,10
0,56,1,1,1,243,3,3,1,0,0,0.181,5
0,25,2,1,1,221,2,3,4,0,1,0.017,4
0,61,1,1,1,77,6,3,1,0,1,0.008,4
1,44,2,1,2,153,5,1,2,0,1,0.014,5
0,53,3,2,3,208,7,2,4,0,1,0.01,2
0,19,2,2,2,180,4,1,1,1,0,0.115,3
0,40,2,1,5,198,2,3,3,0,1,0.085,5
1,56,2,1,2,178,4,1,3,0,0,0.136,7
0,21,1,2,1,231,3,3,1,0,0,0.18,8
1,24,2,1,4,263,5,1,1,0,1,0.076,6
1,59,2,2,1,58,5,1,2,0,1,0.166,4
1,23,2,2,1,62,4,3,2,0,1,0.007,5
0,58,1,1,3,185,8,3,1,0,1,0.053,8
1,29,2,1,1,199,5,2,4,0,1,0.068,4
0,39,1,3,1,239,4,2,4,0,0,0.115,10
0,38,1,1,1,194,4,2,4,0,0,0.087,8
0,39,1,1,5,109,6,1,2,0,0,0.151,10
1,33,2,2,2,173,5,3,2,0,1,0.11,9
0,43,1,1,2,207,2,1,1,1,1,0.051,10
0,69,1,1,3,189,4,1,4,0,0,0.021,8
0,44,2,1,1,201,1,1,3,0,0,0.17,9
0,23,2,1,1,132,4,1,1,1,1,0.008,1
0,63,1,2,1,152,3,3,3,0,0,0.177,4
1,25,1,1,1,246,4,2,2,0,1,0.197,7
1,37,2,3,3,180,2,1,1,0,1,0.159,3
0,49,1,1,3,188,1,3,1,1,0,0.172,7
0,46,2,2,3,138,5,2,2,1,0,0.182,7
0,44,2,1,2,210,5,2,4,1,1,0.035,6
0,41,1,1,2,105,1,1,4,0,1,0.048,1
0,36,1,1,3,63,3,2,3,0,0,0.02,1
1,21,1,2,3,119,4,1,3,0,1,0.117,1
0,41,2,2,1,22,2,2,1,1,1,0.013,10
1,33,1,1,1,117,6,1,3,1,1,0.098,6
0,30,2,1,3,104,4,2,2,0,1,0.095,4
0,66,1,1,1,272,3,2,3,0,1,0.164,4
0,53,3,3,2,91,6,3,2,0,1,0.015,1
0,68,3,2,2,260,2,3,1,0,1,0.199,10
0,64,2,2,2,242,2,1,1,1,0,0.14,9
1,48,1,2,4,108,4,2,1,1,1,0.057,10
0,31,2,2,1,115,3,2,1,0,1,0.133,4
1,19,2,1,1,125,8,3,2,0,0,0.152,7
0,48,1,1,3,177,2,3,4,0,1,0.172,2
0,43,2,1,1,194,5,2,2,0,1,0.034,1
0,57,1,2,1,241,1,2,2,0,0,0.092,4
1,43,2,1,4,244,2,3,1,1,0,0.044,6
0,41,1,1,2,200,2,2,1,0,1,0.001,9
1,33,2,1,1,283,2,2,1,1,1,0.086,9
0,44,1,2,3,117,2,2,2,0,1,0.108,5
0,49,2,2,2,29,0,1,3,1,0,0.061,3
0,39,1,1,1,219,2,1,1,0,0,0.057,3
1,32,2,1,4,115,2,2,3,1,1,0.188,10
0,43,1,1,2,159,4,2,2,0,1,0.077,6
0,37,2,1,2,259,8,1,3,0,1,0.127,1
0,29,1,2,1,153,3,2,1,0,0,0.192,3
0,69,2,2,1,239,1,3,3,0,0,0.153,1
0,58,2,1,3,218,3,3,2,0,1,0.085,7
0,34,1,3,1,167,4,1,1,1,1,0.04,10
1,26,2,1,1,189,4,1,4,1,1,0.17,4
0,55,1,2,1,178,5,2,1,0,0,0.147,10
1,50,1,3,5,299,2,1,2,0,1,0.088,9
1,21,2,1,2,145,3,3,2,0,0,0.194,8
0,41,2,2,3,158,3,2,4,0,1,0.102,7
1,57,2,2,1,242,2,1,1,0,1,0.184,10
0,37,2,1,1,95,6,1,2,0,0,0.111,1
1,40,1,1,1,178,2,1,4,0,1,0.06,5
1,32,1,2,1,159,4,2,2,1,1,0.053,5
0,56,1,1,1,163,1,1,1,1,0,0.087,3
0,52,1,1,5,192,2,3,2,0,0,0.007,6
0,47,2,1,1,68,7,1,3,0,0,0.07,6
1,47,2,1,1,169,2,1,4,0,0,0.199,7
0,69,3,1,1,179,5,2,1,0,1,0.103,9
0,25,1,1,1,112,4,2,1,1,0,0.156,7
0,69,1,1,1,309,1,1,1,1,1,0.015,9
0,49,2,1,2,222,2,1,1,0,1,0.003,2
1,25,2,3,1,79,4,3,2,0,1,0.16,8
1,35,1,3,1,282,2,1,4,1,1,0.008,7
0,55,2,2,1,209,5,1,1,1,1,0.003,6
0,51,1,1,1,173,9,3,1,0,1,0.067,10
0,65,1,1,4,210,3,3,1,0,0,0.062,4
0,51,2,1,2,139,2,1,3,1,1,0.002,2
0,49,1,2,1,115,2,1,1,1,1,0.117,10
0,34,1,1,4,129,5,1,1,1,0,0.002,4
1,68,1,1,1,203,5,1,1,1,0,0.133,9
0,69,1,2,1,131,7,2,3,0,1,0.142,2
0,46,1,2,1,176,6,3,2,0,1,0.057,4
0,37,1,3,1,165,2,1,4,1,0,0.17,2
0,24,1,2,5,219,4,1,2,0,0,0.079,2
1,19,2,2,1,125,3,1,1,0,1,0.067,7
0,48,1,1,1,81,4,2,1,0,1,0.135,9
0,56,2,1,3,160,5,1,3,1,1,0.038,1
0,23,2,3,1,223,4,1,1,0,0,0.09,7
1,54,1,3,2,207,5,2,2,1,1,0.012,9
1,27,1,1,1,202,5,1,1,0,1,0.19,6
0,46,2,1,1,145,4,1,1,0,0,0.087,4
0,41,1,2,1,204,7,1,2,0,0,0.063,4
0,43,1,1,3,185,3,2,3,0,1,0.044,1
0,34,1,1,4,267,4,3,3,1,0,0.037,3
0,54,2,3,1,174,5,1,3,1,1,0.084,3
0,56,2,2,1,96,7,2,1,0,1,0.003,6
0,53,2,1,3,182,7,1,3,0,1,0.059,6
1,61,1,2,1,197,2,1,4,0,0,0.087,8
1,68,1,1,1,104,5,1,4,0,1,0.023,9
0,60,2,1,1,92,5,1,4,1,0,0.108,2
0,20,2,1,3,168,5,1,3,1,1,0.153,9
0,47,1,2,5,139,5,2,1,0,1,0.083,3
0,51,2,2,1,253,3,2,3,1,0,0.08,3
0,26,1,1,1,283,4,1,1,1,1,0.168,3
0,52,1,2,1,65,6,1,3,0,1,0.024,6
0,65,1,2,1,177,3,1,1,1,1,0.03,1
0,20,1,1,2,264,4,1,4,1,1,0.071,4
1,20,2,1,5,224,4,1,2,1,0,0.179,10
0,61,2,1,3,87,6,2,1,0,1,0.189,5
1,55,2,1,3,172,1,1,2,0,0,0.096,8
0,50,2,3,3,253,5,2,1,1,1,0.186,3
0,54,1,2,2,37,2,2,2,0,1,0.169,1
1,63,2,1,1,92,5,1,4,0,1,0.043,10
0,54,3,2,1,167,2,2,1,0,0,0.137,1
0,35,2,2,4,146,5,3,3,1,1,0.014,2
1,60,2,1,1,141,6,3,2,0,1,0.078,9
1,69,2,1,1,191,9,2,4,1,1,0.126,6
1,22,2,1,1,172,9,2,2,0,1,0.076,3
0,50,1,1,1,200,5,2,4,0,1,0.081,8
0,63,1,1,2,245,5,3,1,0,1,0.169,2
0,35,1,1,2,212,5,1,2,1,1,0.109,2
1,31,2,1,3,292,5,1,3,1,1,0.134,9
0,55,1,1,3,317,2,1,1,1,1,0.134,2
0,40,2,1,1,188,5,1,2,1,1,0.084,4
1,38,1,1,2,173,5,3,4,0,1,0.022,10
0,52,2,3,1,193,6,2,1,0,1,0.036,10
0,56,1,1,3,186,7,1,2,0,1,0.022,2
1,56,2,1,1,148,5,1,1,0,0,0.077,9
1,42,3,1,2,-9,4,1,1,0,0,0.135,10
1,38,2,1,5,267,4,1,3,0,0,0.194,10
0,58,1,3,5,164,1,3,1,0,1,0.175,4
0,57,2,1,1,12,1,2,2,1,0,0.032,6
0,25,2,1,2,166,8,1,3,0,1,0.145,7
0,67,1,1,3,261,3,2,4,0,1,0.029,1
1,27,2,1,4,130,5,1,1,1,1,0.135,10
0,24,1,3,4,164,5,2,2,0,0,0.148,6
0,45,1,1,2,303,6,1,1,0,1,0.117,6
1,39,2,1,2,152,8,1,2,1,1,0.192,9
0,63,2,1,3,107,4,1,4,0,0,0.099,9
0,31,1,1,1,163,2,3,4,0,1,0.123,8
0,60,1,2,4,212,2,1,4,0,1,0.064,9
0,36,1,2,3,177,3,2,3,0,0,0.056,5
0,34,1,2,1,156,4,2,2,0,1,0.091,9
1,31,1,1,1,176,3,1,4,0,0,0.092,10
0,42,2,2,1,147,2,1,1,1,0,0.088,2
0,32,2,1,5,254,5,1,3,1,1,0.11,8
0,38,2,1,2,184,3,1,1,0,1,0.142,2
0,23,2,1,5,224,4,1,3,0,1,0.194,1
1,69,2,1,1,271,4,1,3,1,0,0.06,9
0,21,2,1,1,233,5,2,4,0,1,0.069,3
1,64,1,2,3,200,7,3,3,1,1,0.149,8
0,64,2,1,1,87,6,2,1,1,1,0.127,4
0,68,2,3,2,202,9,1,2,0,1,0.189,3
0,64,1,1,3,192,3,2,1,0,1,0.062,6
0,53,1,1,2,152,1,3,4,0,0,0.167,1
0,39,1,1,1,106,4,1,1,1,0,0.183,9
0,64,2,2,1,238,3,2,2,0,0,0.039,5
0,33,1,1,1,273,7,1,1,0,1,0.088,5
1,51,2,1,2,222,7,3,1,0,0,0.063,4
0,56,1,1,1,226,3,1,1,0,1,0.02,1
0,33,2,1,1,205,2,1,4,1,1,0.015,2
0,62,2,3,1,256,9,1,4,1,1,0.097,4
0,60,1,1,1,197,6,1,1,0,1,0.191,3
0,24,1,3,2,202,3,1,1,0,0,0.183,8
0,43,1,1,3,96,5,3,1,0,1,0.095,9
0,23,1,1,2,259,2,1,1,0,1,0.082,2
1,62,1,2,1,266,4,2,4,1,1,0.152,9
0,67,2,1,3,181,4,1,1,0,1,0.122,2
1,18,2,1,5,172,7,1,4,1,0,0.012,9
0,62,1,2,2,293,9,2,3,0,0,0.029,10
1,56,1,1,3,255,4,1,1,0,1,0.026,9
0,29,1,1,1,130,7,2,1,0,1,0.084,6
1,36,2,1,5,146,4,2,3,1,1,0.008,10
0,68,2,2,1,139,2,1,1,0,1,0.002,5
0,68,1,1,1,234,3,1,1,0,1,0.105,10
0,48,2,1,1,264,4,1,3,1,0,0.185,3
0,26,1,2,1,107,2,2,1,1,1,0.155,8
1,50,2,1,1,117,4,1,3,1,0,0.095,8
0,50,3,1,1,186,4,1,1,0,0,0.006,5
0,68,2,1,3,233,3,1,1,0,0,0.138,7
0,52,2,1,2,68,4,3,4,1,1,0.002,8
1,31,3,1,1,307,2,2,3,1,1,0.191,7
1,24,2,1,3,225,3,3,4,1,1,0.102,10
0,63,1,2,4,145,8,3,3,0,1,0.116,2
0,41,3,2,1,186,5,1,4,0,1,0.056,8
0,62,1,2,1,113,3,2,2,0,1,0.147,9
0,36,2,1,1,188,6,3,1,0,1,0.055,2
0,40,1,3,1,151,2,1,1,0,1,0.057,3
1,66,1,1,4,177,6,1,1,0,1,0.012,9
1,51,2,3,2,198,2,1,4,0,1,0.087,10
1,59,1,3,1,299,7,1,1,0,1,0.027,9
1,46,2,2,1,296,6,3,3,1,1,0.138,1
0,69,2,1,1,302,3,3,2,0,0,0.009,7
0,29,2,1,1,173,8,2,2,1,0,0.087,4
1,47,2,3,1,175,2,1,1,0,1,0.18,1
0,35,1,2,1,226,7,2,3,0,1,0.014,1
0,41,1,1,5,109,2,1,3,1,1,0.021,8
0,50,1,2,2,105,4,1,3,1,0,0.084,1
1,66,1,2,1,127,7,2,3,0,1,0.087,7
0,63,1,1,1,55,4,1,2,0,0,0.163,7
1,66,2,2,1,239,2,2,1,1,1,0.114,4
0,38,2,1,3,155,5,2,3,0,1,0.072,6
0,47,2,2,4,192,4,3,2,1,0,0.099,9
0,19,1,1,1,304,2,2,1,1,0,0.053,8
1,40,1,1,2,213,3,2,1,0,0,0.027,9
0,64,2,1,1,152,4,1,2,0,1,0.039,2
0,57,2,3,2,213,3,1,1,0,1,0.138,5
0,26,1,1,4,173,1,2,1,1,1,0.141,10
1,33,1,2,2,119,2,3,1,0,0,0.14,10
1,19,1,1,1,71,5,2,4,0,1,0.099,6
0,46,2,1,3,93,6,3,1,0,0,0.163,2
0,56,2,2,5,169,3,1,4,0,0,0.03,4
1,51,1,3,1,185,5,3,4,0,1,0.082,4
0,66,1,2,3,201,4,1,4,1,0,0.074,4
1,65,2,1,4,151,5,2,1,1,1,0.182,10
1,43,2,1,2,100,3,1,2,0,0,0.024,2
1,64,1,2,2,200,2,1,4,1,1,0.114,6
1,44,2,1,1,137,4,2,2,0,1,0.156,7
0,22,2,1,1,158,7,1,1,0,0,0.107,9
0,22,1,2,1,176,7,1,2,0,1,0.087,6
0,54,3,3,1,264,8,1,4,0,0,0.155,4
1,22,2,1,2,224,4,3,2,1,0,0.051,8
0,27,1,2,1,224,9,1,4,0,0,0.059,3
1,30,1,1,1,131,3,3,3,0,1,0.027,3
0,39,2,1,3,135,3,1,4,0,1,0.169,2
0,31,2,1,2,158,4,2,2,1,0,0.016,4
0,19,1,1,1,126,3,1,1,0,1,0.046,9
1,20,1,2,1,241,9,1,1,0,0,0.071,10
1,33,2,2,1,270,6,1,4,0,0,0.108,8
0,44,1,3,2,160,6,2,4,0,0,0.052,5
0,32,2,1,3,71,6,2,2,0,0,0.132,2
0,55,1,1,1,237,3,2,3,0,1,0.042,7
0,35,2,1,1,246,10,3,2,1,0,0.012,7
0,34,2,2,2,171,3,2,3,1,0,0.2,5
1,24,1,1,1,140,3,1,2,0,0,0.027,8
0,63,1,1,1,147,3,2,1,1,1,0.09,7
1,20,2,1,4,249,3,3,2,0,0,0.11,10
0,23,1,2,1,226,7,1,1,0,0,0.113,1
0,24,1,1,1,211,0,1,1,0,1,0.01,10
0,61,1,2,2,117,3,1,3,0,1,0.077,5
0,45,2,1,5,242,2,2,3,0,1,0.044,6
0,39,2,2,4,277,4,2,1,1,1,0.067,1
1,64,1,2,2,86,4,2,4,0,1,0.187,10
0,69,2,2,4,188,3,1,1,1,0,0.028,1
0,58,1,2,1,227,4,2,3,1,1,0.143,9
1,39,2,1,2,268,3,1,1,0,1,0.142,7
0,57,1,1,1,209,5,1,4,1,1,0.067,5
0,66,1,2,5,259,2,2,1,0,1,0.071,7
0,69,1,1,4,177,4,2,4,0,0,0.199,8
1,33,1,2,1,267,4,1,1,0,1,0.19,10
0,49,2,3,2,214,6,3,1,0,0,0.166,10
0,52,1,1,1,324,5,3,3,0,0,0.011,2
0,47,3,1,1,174,4,2,1,0,1,0.01,5
0,42,3,1,1,132,5,1,3,0,1,0.028,3
1,67,2,2,2,197,4,2,3,0,1,0.136,8
1,43,3,1,1,140,2,1,4,0,1,0.01,6
0,56,1,1,1,190,5,1,4,1,0,0.197,7
0,32,1,2,1,130,4,3,4,0,1,0.037,5
1,58,2,1,3,233,3,2,1,0,1,0.019,3
1,27,2,1,1,185,3,1,4,0,0,0.042,10
0,57,2,2,1,87,3,3,3,1,0,0.004,6
0,25,1,2,1,122,6,1,3,0,0,0.169,3
0,19,1,3,1,96,4,1,4,1,1,0.172,4
0,32,2,1,2,144,3,2,2,0,1,0.135,9
0,50,1,1,2,204,2,3,1,0,0,0.035,2
1,45,1,1,2,242,3,1,3,0,1,0.134,7
0,48,2,1,2,151,6,1,3,0,1,0.081,5
0,62,1,1,3,135,2,1,4,0,1,0.128,1
0,26,1,1,1,222,4,2,1,0,1,0.017,2
0,55,2,1,1,157,2,2,1,1,0,0.067,7
0,23,2,2,4,222,2,2,1,0,1,0.056,4
0,65,2,1,2,155,1,1,1,1,0,0.002,9
0,32,1,1,2,138,4,1,1,0,0,0.022,10
1,43,1,2,4,237,5,1,4,0,1,0.043,6
1,23,2,1,2,269,3,1,1,0,1,0.099,9
1,37,1,2,5,244,3,1,4,1,1,0.166,7
0,63,1,1,1,184,6,1,1,0,1,0.108,10
0,60,2,3,1,153,2,1,2,0,1,0.109,4
1,24,1,3,1,249,4,1,2,0,1,0.02,3
0,66,2,3,1,196,4,1,3,0,0,0.052,7
1,58,1,2,1,222,6,1,3,1,1,0.199,10
0,51,2,1,1,144,6,2,2,0,0,0.097,9
1,29,1,1,1,143,8,1,3,0,0,0.03,9
0,37,2,1,1,133,0,1,3,0,1,0.139,6
0,40,2,2,1,121,5,2,1,0,1,0.077,4
0,34,2,3,1,201,4,3,1,0,0,0.015,2
0,69,2,2,1,206,8,1,2,0,0,0.034,1
1,70,1,1,1,166,4,1,1,1,0,0.054,4
0,31,1,1,1,139,4,2,1,0,1,0.063,8
0,42,1,3,2,142,7,1,1,0,0,0.185,9
0,41,2,1,1,182,2,1,1,0,0,0.168,10
0,37,1,2,5,211,6,3,1,0,0,0.019,10
0,47,2,1,2,79,5,1,3,1,0,0.064,6
0,28,1,1,4,119,5,2,1,0,0,0.075,5
0,31,2,1,2,226,2,2,4,0,0,0.108,2
0,61,1,1,1,187,3,2,2,1,0,0.059,7
0,57,1,2,2,221,2,2,1,0,1,0.02,5
0,33,2,2,1,135,10,1,4,0,0,0.199,5
1,68,2,3,1,177,7,3,1,0,1,0.19,7
0,65,1,2,3,176,4,2,3,0,0,0.093,7
0,28,1,1,4,270,5,1,2,1,0,0.192,2
0,56,2,1,4,181,8,1,1,0,1,0.185,5
1,25,1,1,5,159,3,2,1,0,0,0.03,6
0,67,2,1,2,154,4,2,3,1,0,0.071,7
0,67,2,3,1,197,4,3,3,1,1,0.006,9
