age,annual_income,employment_length,home_ownership,loan_amount,interest_rate,purpose,credit_score,default_1yr
39.0,81848.0,1–3 years,Own,11410.0,18.06,Home improvement,680.0,0
30.0,58329.0,3–5 years,-,22296.0,15.38,Other,817.0,0
53.0,75618.0,3–5 years,Own,13426.0,12.79,Car,701.0,0
55.0,47397.0,3–5 years,Rent,17438.0,10.81,Debt consolidation,741.0,0
57.0,59395.0,5–10 years,Rent,21492.0,13.3,Home improvement,597.0,1
53.0,56157.0,1–3 years,Own,9315.0,12.07,-,664.0,0
55.0,67571.0,-,Own,9434.0,13.4,Vacation,748.0,0
37.0,62101.0,3–5 years,Mortgage,21765.0,13.13,Debt consolidation,679.0,0
70.0,59714.0,5–10 years,-,21866.0,11.96,Education,641.0,0
36.0,60649.0,3–5 years,Mortgage,12224.0,16.62,Debt consolidation,-,0
43.0,50395.0,1–3 years,Rent,15166.0,14.22,Car,594.0,0
43.0,56637.0,10+ years,Rent,5646.0,8.77,Education,677.0,0
25.0,46155.0,10+ years,Mortgage,4987.0,8.78,-,658.0,0
49.0,57522.0,10+ years,Other,12904.0,7.43,Debt consolidation,719.0,0
49.0,50796.0,5–10 years,Mortgage,16495.0,8.3,Debt consolidation,728.0,0
44.0,60110.0,-,Mortgage,11416.0,10.19,Vacation,669.0,0
72.0,86234.0,-,Own,25170.0,12.78,Other,658.0,0
59.0,29864.0,5–10 years,Rent,16816.0,9.29,Vacation,690.0,0
32.0,64171.0,5–10 years,Rent,12145.0,12.22,Car,707.0,0
24.0,22763.0,<1 year,Rent,12782.0,13.27,-,792.0,0
51.0,41199.0,3–5 years,Rent,22184.0,11.27,Debt consolidation,727.0,0
25.0,58700.0,1–3 years,Own,24037.0,15.8,Home improvement,727.0,0
48.0,73428.0,3–5 years,Own,16104.0,12.3,Car,-,0
67.0,-,3–5 years,-,23686.0,11.11,Debt consolidation,674.0,0
21.0,86444.0,3–5 years,Other,10667.0,8.79,Debt consolidation,719.0,0
57.0,50000000.0,3–5 years,Rent,22850.0,11.9,Vacation,585.0,0
33.0,33435.0,3–5 years,Mortgage,8048.0,6.72,Debt consolidation,642.0,0
42.0,82486.0,3–5 years,Mortgage,15141.0,14.18,Home improvement,595.0,0
62.0,40822.0,1–3 years,-,26547.0,10.06,Debt consolidation,700.0,0
71.0,92761.0,3–5 years,Mortgage,17800.0,15.62,Home improvement,646.0,0
21.0,-,-,Rent,10201.0,17.1,Car,754.0,0
21.0,53173.0,10+ years,Own,11846.0,16.11,Other,738.0,0
34.0,51341.0,<1 year,Mortgage,13371.0,14.67,Car,745.0,0
22.0,19128.0,-,Own,14273.0,12.14,Debt consolidation,688.0,0
60.0,76052.0,1–3 years,Rent,13240.0,10.36,Car,656.0,0
46.0,58781.0,1–3 years,Rent,17564.0,11.63,Home improvement,-,0
33.0,85478.0,5–10 years,Rent,20264.0,10.97,Debt consolidation,618.0,0
60.0,58048.0,3–5 years,Rent,19697.0,9.09,Vacation,746.0,0
31.0,35717.0,<1 year,Own,11974.0,10.08,-,757.0,0
49.0,25535.0,5–10 years,Own,8523.0,15.12,Debt consolidation,748.0,0
35.0,63895.0,3–5 years,-,14068.0,15.18,Home improvement,680.0,0
56.0,110672.0,1–3 years,Rent,12108.0,17.06,Home improvement,607.0,0
42.0,39687.0,3–5 years,Own,15059.0,11.94,Home improvement,698.0,0
71.0,79842.0,10+ years,Own,22679.0,6.18,Debt consolidation,729.0,0
69.0,73082.0,10+ years,Own,15393.0,12.8,Home improvement,651.0,0
32.0,80870.0,1–3 years,Rent,15700.0,13.07,Home improvement,-,0
51.0,63666.0,3–5 years,Own,20407.0,8.0,Debt consolidation,728.0,0
61.0,35745.0,3–5 years,Own,6616.0,14.46,Car,704.0,0
56.0,77146.0,1–3 years,Rent,15617.0,11.93,Home improvement,695.0,0
24.0,62123.0,5–10 years,Rent,10523.0,10.33,Debt consolidation,617.0,0
34.0,86510.0,3–5 years,Own,11626.0,13.67,-,798.0,0
45.0,32046.0,<1 year,Rent,15986.0,12.89,Debt consolidation,749.0,0
28.0,86430.0,3–5 years,Own,11971.0,15.15,Car,723.0,0
45.0,26514.0,1–3 years,Own,20291.0,11.18,Vacation,-,0
27.0,61461.0,10+ years,Mortgage,13817.0,16.54,-,711.0,0
74.0,53542.0,10+ years,Mortgage,4043.0,13.72,Debt consolidation,697.0,0
32.0,75577.0,5–10 years,Own,9052.0,12.79,Car,731.0,0
53.0,82153.0,5–10 years,Rent,13149.0,11.64,Education,714.0,0
36.0,46541.0,-,Own,6187.0,13.01,Home improvement,687.0,0
42.0,39373.0,3–5 years,Own,17142.0,12.17,Debt consolidation,669.0,0
50.0,78663.0,5–10 years,Mortgage,3978.0,16.39,Car,813.0,0
35.0,42871.0,5–10 years,Rent,13142.0,11.65,Home improvement,731.0,0
29.0,111314.0,5–10 years,Rent,18784.0,8.2,Car,668.0,0
58.0,78276.0,5–10 years,Rent,13951.0,11.85,Home improvement,637.0,0
61.0,51075.0,1–3 years,Rent,16787.0,13.21,Debt consolidation,750.0,0
32.0,101276.0,3–5 years,Rent,7670.0,19.65,Vacation,646.0,0
30.0,50626.0,3–5 years,Rent,17213.0,16.54,Debt consolidation,695.0,0
64.0,51503.0,10+ years,Mortgage,19341.0,10.45,Vacation,803.0,0
32.0,-,<1 year,-,14558.0,9.84,Home improvement,774.0,0
49.0,88301.0,1–3 years,Rent,15919.0,17.7,Home improvement,631.0,0
34.0,48981.0,5–10 years,Mortgage,12504.0,13.76,Education,677.0,0
39.0,100114.0,5–10 years,-,17248.0,15.95,Vacation,759.0,0
28.0,-,<1 year,Own,16403.0,14.13,Vacation,772.0,0
50.0,52134.0,3–5 years,Own,6755.0,10.42,Education,-,0
64.0,44208.0,1–3 years,Rent,12670.0,14.86,Vacation,744.0,0
62.0,77075.0,-,Mortgage,14203.0,7.73,Education,756.0,0
38.0,46681.0,<1 year,Mortgage,24992.0,13.75,Car,715.0,0
72.0,82786.0,3–5 years,Mortgage,29563.0,13.43,Vacation,687.0,0
64.0,90639.0,3–5 years,Mortgage,23061.0,11.76,Car,676.0,0
-,91631.0,3–5 years,Mortgage,11545.0,8.27,Education,686.0,0
57.0,78971.0,5–10 years,-,13363.0,15.03,Debt consolidation,626.0,0
27.0,98365.0,<1 year,Rent,17491.0,10.71,Debt consolidation,757.0,0
29.0,31902.0,3–5 years,Own,13467.0,16.47,Home improvement,-,0
72.0,73886.0,5–10 years,Own,10465.0,13.59,Car,615.0,0
45.0,86890.0,3–5 years,Rent,19107.0,12.91,Debt consolidation,655.0,0
74.0,38624.0,3–5 years,Own,18461.0,10.21,Debt consolidation,761.0,0
66.0,40761.0,1–3 years,Rent,10261.0,10.19,Education,683.0,0
31.0,68999.0,5–10 years,Own,16709.0,6.94,Education,800.0,0
63.0,37283.0,<1 year,Own,18547.0,6.33,Car,711.0,0
72.0,36817.0,10+ years,Other,14362.0,14.39,Debt consolidation,711.0,0
43.0,49526.0,<1 year,-,9484.0,13.96,Home improvement,656.0,0
54.0,48705.0,1–3 years,Own,14108.0,16.38,Car,752.0,0
34.0,61512.0,10+ years,Rent,16275.0,10.02,Debt consolidation,629.0,0
60.0,66922.0,1–3 years,Own,12911.0,12.49,Debt consolidation,705.0,0
57.0,77720.0,10+ years,Rent,10948.0,13.08,Car,716.0,0
27.0,-,3–5 years,Own,8754.0,15.33,-,694.0,0
60.0,54779.0,3–5 years,Own,16305.0,10.24,Home improvement,722.0,0
58.0,15000.0,-,Rent,12756.0,11.98,Home improvement,736.0,0
45.0,44857.0,5–10 years,Rent,11879.0,7.66,-,-,0
48.0,44480.0,1–3 years,Mortgage,15038.0,10.51,Home improvement,674.0,0
42.0,96042.0,<1 year,Other,18070.0,13.79,Other,686.0,0
28.0,50882.0,5–10 years,Rent,13726.0,12.71,Vacation,650.0,0
49.0,48198.0,5–10 years,Own,12929.0,8.75,Home improvement,641.0,0
29.0,61680.0,5–10 years,Mortgage,8275.0,13.14,Debt consolidation,658.0,0
36.0,119291.0,1–3 years,Rent,14678.0,9.73,Home improvement,667.0,0
34.0,82930.0,1–3 years,Rent,11427.0,16.42,Debt consolidation,-,0
23.0,58789.0,5–10 years,Mortgage,14531.0,10.81,Home improvement,752.0,0
46.0,60237.0,<1 year,-,2072.0,10.25,Home improvement,766.0,0
43.0,-,3–5 years,Mortgage,16824.0,11.98,Debt consolidation,790.0,0
25.0,43639.0,3–5 years,Own,11263.0,18.76,Debt consolidation,719.0,0
34.0,53670.0,5–10 years,Rent,15942.0,14.54,Debt consolidation,762.0,0
56.0,70613.0,3–5 years,-,27367.0,10.83,Car,719.0,0
67.0,78882.0,1–3 years,Rent,15882.0,10.9,Debt consolidation,677.0,0
33.0,62444.0,3–5 years,Mortgage,13409.0,11.34,Debt consolidation,669.0,0
24.0,54826.0,3–5 years,Rent,12457.0,10.41,Debt consolidation,-,0
37.0,81133.0,5–10 years,Rent,11511.0,13.48,Home improvement,738.0,0
73.0,96471.0,5–10 years,Own,3818.0,18.29,Debt consolidation,720.0,0
25.0,-,3–5 years,Mortgage,15568.0,17.51,Car,776.0,0
65.0,67644.0,1–3 years,Rent,13090.0,13.23,Home improvement,681.0,0
59.0,65182.0,3–5 years,Rent,14534.0,12.0,Home improvement,707.0,0
57.0,78976.0,1–3 years,Mortgage,17555.0,15.67,Debt consolidation,810.0,0
62.0,75703.0,<1 year,Mortgage,29861.0,13.92,Education,744.0,0
57.0,65416.0,5–10 years,Own,14950.0,16.35,Car,627.0,0
64.0,62688.0,10+ years,Rent,22318.0,10.96,Debt consolidation,-,1
66.0,39157.0,5–10 years,Rent,12217.0,9.09,Car,752.0,0
-,15000.0,3–5 years,Mortgage,23818.0,9.01,Home improvement,692.0,0
30.0,51421.0,5–10 years,Own,8054.0,14.02,Debt consolidation,665.0,0
45.0,50000000.0,3–5 years,Rent,22130.0,10.58,Education,695.0,0
61.0,96777.0,5–10 years,Rent,20650.0,10.45,Home improvement,745.0,0
73.0,-,10+ years,Rent,15143.0,16.57,Education,679.0,0
34.0,50078.0,3–5 years,Rent,3907.0,10.21,Home improvement,707.0,0
50.0,94828.0,10+ years,Rent,19466.0,14.92,Debt consolidation,732.0,0
44.0,52722.0,3–5 years,Other,20443.0,10.06,Vacation,-,0
42.0,97924.0,10+ years,-,21236.0,11.93,Debt consolidation,710.0,0
56.0,64296.0,5–10 years,Own,16753.0,10.43,Home improvement,713.0,0
68.0,59454.0,<1 year,Own,12050.0,9.77,Car,700.0,0
58.0,50370.0,5–10 years,Rent,13213.0,12.83,-,694.0,0
41.0,49912.0,3–5 years,Rent,17813.0,12.16,Debt consolidation,660.0,0
50.0,78555.0,5–10 years,Own,13571.0,9.48,Car,-,0
45.0,70235.0,3–5 years,Rent,13270.0,12.87,Car,652.0,0
29.0,37774.0,10+ years,Mortgage,11492.0,8.63,Debt consolidation,643.0,0
34.0,34011.0,5–10 years,Rent,16732.0,12.27,Debt consolidation,731.0,0
61.0,-,3–5 years,Own,18148.0,5.61,Car,777.0,0
55.0,32089.0,3–5 years,Own,9418.0,8.96,Debt consolidation,649.0,0
67.0,-,10+ years,Rent,15755.0,8.82,Home improvement,709.0,0
47.0,65756.0,1–3 years,Own,11486.0,15.24,Vacation,705.0,0
55.0,82082.0,1–3 years,Rent,17122.0,8.5,Home improvement,663.0,0
69.0,64750.0,10+ years,Mortgage,14066.0,14.71,Home improvement,753.0,0
35.0,53169.0,3–5 years,-,10134.0,13.86,Debt consolidation,688.0,0
46.0,45270.0,5–10 years,Mortgage,9498.0,13.36,Home improvement,714.0,0
45.0,103414.0,5–10 years,Other,11200.0,6.9,Car,663.0,0
56.0,32238.0,1–3 years,-,14408.0,5.9,Debt consolidation,-,0
48.0,50690.0,3–5 years,Rent,14298.0,16.0,Debt consolidation,643.0,0
54.0,52219.0,3–5 years,Mortgage,13483.0,16.62,Debt consolidation,705.0,0
31.0,45686.0,3–5 years,Rent,17755.0,6.29,-,752.0,0
-,73353.0,-,Mortgage,15489.0,16.03,Debt consolidation,723.0,0
64.0,34731.0,-,Other,22075.0,12.37,Car,741.0,0
44.0,70521.0,<1 year,Mortgage,18842.0,12.14,Home improvement,665.0,0
67.0,73327.0,5–10 years,Mortgage,13780.0,15.45,Other,674.0,0
68.0,-,1–3 years,Own,21860.0,19.58,Debt consolidation,677.0,0
33.0,57651.0,3–5 years,Mortgage,14407.0,16.55,Debt consolidation,650.0,0
62.0,36413.0,3–5 years,Rent,18069.0,13.01,Debt consolidation,647.0,0
62.0,50000000.0,10+ years,Rent,11761.0,18.86,Home improvement,657.0,0
41.0,15000.0,3–5 years,Rent,13525.0,13.74,Debt consolidation,614.0,0
22.0,88933.0,<1 year,Mortgage,14639.0,15.61,Debt consolidation,808.0,0
-,-,10+ years,Rent,16608.0,8.86,Debt consolidation,613.0,0
67.0,84956.0,3–5 years,Rent,11755.0,17.92,Education,695.0,0
52.0,67955.0,-,Own,18811.0,15.34,-,688.0,0
54.0,75998.0,5–10 years,Rent,17936.0,9.9,Debt consolidation,655.0,0
67.0,62810.0,-,Mortgage,10552.0,10.54,Debt consolidation,693.0,0
43.0,79634.0,1–3 years,Mortgage,8623.0,10.07,Home improvement,734.0,0
65.0,44569.0,1–3 years,Mortgage,14160.0,7.7,Home improvement,731.0,0
57.0,119812.0,3–5 years,Rent,18535.0,12.56,Debt consolidation,589.0,0
47.0,19930.0,3–5 years,Rent,4419.0,16.26,Education,642.0,0
31.0,86534.0,1–3 years,Rent,17911.0,16.68,Car,668.0,0
69.0,70900.0,3–5 years,Mortgage,10862.0,16.68,Debt consolidation,682.0,0
60.0,47531.0,1–3 years,Rent,15057.0,8.41,Home improvement,587.0,1
40.0,92556.0,1–3 years,Rent,15721.0,9.46,Debt consolidation,715.0,0
60.0,-,-,Own,16593.0,10.44,Vacation,719.0,0
37.0,99857.0,1–3 years,Rent,11850.0,11.23,-,663.0,0
45.0,40601.0,1–3 years,Own,7508.0,17.19,Debt consolidation,785.0,0
71.0,73315.0,5–10 years,Own,17684.0,8.07,Debt consolidation,796.0,0
41.0,68568.0,<1 year,Mortgage,23461.0,10.28,Home improvement,778.0,1
25.0,58967.0,5–10 years,Own,15130.0,20.04,Car,671.0,0
28.0,71950.0,10+ years,Own,10118.0,12.27,Other,720.0,0
67.0,37552.0,5–10 years,Mortgage,19636.0,10.8,Home improvement,689.0,0
32.0,-,3–5 years,Own,8848.0,17.33,Debt consolidation,668.0,0
33.0,51828.0,<1 year,Mortgage,21179.0,18.16,Debt consolidation,725.0,0
69.0,98495.0,3–5 years,Mortgage,10208.0,13.19,Education,671.0,0
73.0,32673.0,3–5 years,Own,11054.0,9.19,Vacation,763.0,0
74.0,87643.0,-,Rent,23604.0,12.97,Education,718.0,0
69.0,54820.0,3–5 years,-,15796.0,16.73,Home improvement,760.0,0
21.0,90436.0,5–10 years,Mortgage,8067.0,8.48,-,760.0,0
24.0,70669.0,3–5 years,-,13866.0,13.76,Debt consolidation,739.0,0
65.0,96121.0,1–3 years,Rent,15658.0,12.49,Car,695.0,0
31.0,66690.0,1–3 years,Own,5745.0,10.31,Debt consolidation,679.0,0
62.0,74496.0,<1 year,Rent,15145.0,8.22,Other,760.0,0
53.0,-,<1 year,Own,18520.0,12.92,Debt consolidation,765.0,0
63.0,61176.0,1–3 years,Rent,17821.0,9.65,Car,-,0
60.0,62423.0,-,Rent,18322.0,14.09,Debt consolidation,634.0,0
71.0,40291.0,3–5 years,Rent,21477.0,8.33,Debt consolidation,678.0,0
24.0,27101.0,5–10 years,Rent,10464.0,13.77,-,739.0,0
62.0,37406.0,5–10 years,Own,23454.0,15.73,Vacation,716.0,1
57.0,38927.0,<1 year,-,6317.0,14.17,Debt consolidation,720.0,0
66.0,58612.0,-,Mortgage,14684.0,13.41,Debt consolidation,660.0,0
36.0,39275.0,1–3 years,Mortgage,9896.0,14.06,Debt consolidation,754.0,0
36.0,-,3–5 years,Other,11560.0,15.29,Vacation,717.0,0
72.0,-,<1 year,Mortgage,15544.0,6.26,Education,-,0
64.0,63033.0,1–3 years,Own,13614.0,11.3,Debt consolidation,721.0,0
41.0,69402.0,5–10 years,Rent,22130.0,14.86,Debt consolidation,706.0,0
43.0,48925.0,3–5 years,Rent,6007.0,14.45,Debt consolidation,686.0,0
53.0,61199.0,3–5 years,Rent,14121.0,14.06,Debt consolidation,-,0
73.0,50000000.0,5–10 years,Own,14598.0,9.08,Home improvement,631.0,0
26.0,51434.0,5–10 years,Rent,6276.0,15.68,Other,716.0,0
66.0,54194.0,5–10 years,Own,18035.0,13.61,Home improvement,648.0,0
55.0,25257.0,1–3 years,Other,12297.0,14.39,Car,739.0,0
34.0,70660.0,1–3 years,Rent,19416.0,10.83,Home improvement,703.0,0
53.0,68384.0,10+ years,-,19729.0,9.93,Car,685.0,0
25.0,99757.0,3–5 years,Rent,14262.0,11.38,Debt consolidation,757.0,0
71.0,37982.0,3–5 years,Mortgage,17236.0,11.46,Debt consolidation,767.0,0
63.0,56402.0,-,Own,18255.0,12.35,Other,704.0,0
43.0,87448.0,1–3 years,Rent,10636.0,16.47,Car,714.0,0
27.0,40123.0,5–10 years,Mortgage,11463.0,8.7,Other,665.0,0
28.0,35603.0,1–3 years,Rent,18337.0,10.25,Other,-,0
40.0,65474.0,5–10 years,Rent,4846.0,16.0,Home improvement,752.0,0
60.0,70976.0,3–5 years,Mortgage,11424.0,11.91,Debt consolidation,746.0,0
52.0,46494.0,3–5 years,Other,20826.0,11.42,Car,718.0,0
34.0,56668.0,1–3 years,Mortgage,13621.0,12.39,Other,612.0,0
22.0,-,10+ years,-,16953.0,12.81,Home improvement,608.0,0
54.0,80483.0,10+ years,Mortgage,14612.0,9.88,Education,730.0,0
56.0,69945.0,5–10 years,Own,19092.0,8.37,Debt consolidation,753.0,0
23.0,75657.0,10+ years,Own,18686.0,11.47,Home improvement,-,1
58.0,55740.0,-,Other,16422.0,9.41,Vacation,685.0,0
60.0,70486.0,10+ years,Other,18607.0,13.5,Debt consolidation,743.0,0
45.0,50000000.0,1–3 years,Own,12040.0,8.82,Vacation,681.0,0
74.0,36540.0,1–3 years,Rent,7522.0,17.72,Home improvement,724.0,0
25.0,66013.0,10+ years,-,14515.0,12.26,Debt consolidation,703.0,0
31.0,75932.0,-,Mortgage,21958.0,11.66,Other,683.0,0
29.0,36484.0,10+ years,Other,11438.0,9.12,Debt consolidation,701.0,0
51.0,39258.0,1–3 years,Rent,25544.0,9.76,Debt consolidation,593.0,0
57.0,36058.0,1–3 years,Own,8511.0,12.12,-,710.0,0
28.0,47412.0,3–5 years,Other,21376.0,10.02,Debt consolidation,755.0,0
31.0,36723.0,3–5 years,-,16519.0,10.17,Other,700.0,0
63.0,45460.0,5–10 years,-,23640.0,11.49,Education,732.0,0
33.0,49163.0,3–5 years,Own,19402.0,11.67,Debt consolidation,717.0,0
63.0,46943.0,5–10 years,Mortgage,13628.0,13.76,Vacation,613.0,0
69.0,79875.0,-,Own,16972.0,11.62,Education,717.0,0
56.0,-,<1 year,Other,19183.0,10.32,Car,746.0,0
38.0,-,1–3 years,-,24693.0,11.75,Vacation,734.0,0
33.0,59016.0,10+ years,Rent,12701.0,14.31,Home improvement,-,0
31.0,67088.0,3–5 years,Rent,21722.0,8.15,Car,757.0,0
60.0,81192.0,5–10 years,Rent,10549.0,14.39,Other,712.0,0
41.0,43263.0,3–5 years,Own,21002.0,9.54,Home improvement,762.0,0
73.0,61354.0,10+ years,Rent,12283.0,10.9,Debt consolidation,649.0,0
32.0,75513.0,3–5 years,Rent,18443.0,9.52,Debt consolidation,703.0,0
63.0,50990.0,<1 year,Rent,6857.0,13.47,Home improvement,737.0,0
47.0,50240.0,<1 year,Rent,8149.0,10.37,Debt consolidation,734.0,0
59.0,26757.0,5–10 years,Own,13764.0,13.86,Debt consolidation,707.0,0
31.0,74276.0,1–3 years,Mortgage,12792.0,10.62,Vacation,733.0,0
39.0,49535.0,5–10 years,Own,5653.0,7.77,Debt consolidation,699.0,0
32.0,60472.0,5–10 years,Own,8896.0,10.44,Debt consolidation,672.0,0
59.0,73264.0,3–5 years,Mortgage,17020.0,9.55,Home improvement,611.0,1
59.0,65364.0,5–10 years,Mortgage,12844.0,15.1,Home improvement,736.0,0
38.0,82124.0,3–5 years,Rent,11271.0,15.69,Debt consolidation,664.0,0
55.0,60748.0,3–5 years,Rent,10709.0,6.74,Home improvement,685.0,0
72.0,17827.0,<1 year,Rent,15834.0,12.89,Debt consolidation,712.0,0
59.0,60938.0,1–3 years,Rent,8654.0,11.22,Home improvement,680.0,0
53.0,31656.0,5–10 years,Rent,11317.0,15.57,Debt consolidation,692.0,0
46.0,68032.0,5–10 years,Rent,15416.0,7.4,Debt consolidation,678.0,0
27.0,-,3–5 years,Other,15375.0,14.06,Debt consolidation,744.0,0
40.0,34005.0,10+ years,Mortgage,10877.0,9.54,Other,701.0,0
65.0,101486.0,1–3 years,Mortgage,12048.0,12.86,Home improvement,647.0,0
51.0,43559.0,10+ years,Rent,17092.0,6.47,Car,629.0,0
35.0,92610.0,<1 year,Mortgage,17100.0,15.96,Debt consolidation,759.0,0
50.0,55369.0,1–3 years,Rent,17464.0,8.89,Home improvement,669.0,0
69.0,77731.0,1–3 years,Own,4275.0,13.34,Debt consolidation,684.0,0
36.0,61771.0,3–5 years,Rent,22425.0,12.18,Home improvement,725.0,0
58.0,81605.0,10+ years,-,22485.0,8.03,Home improvement,-,0
34.0,98017.0,5–10 years,Own,17602.0,8.31,Home improvement,582.0,0
30.0,53036.0,3–5 years,Rent,16792.0,8.92,Home improvement,727.0,0
67.0,31460.0,10+ years,-,11749.0,12.76,Debt consolidation,718.0,0
29.0,68077.0,-,Rent,15209.0,5.96,Debt consolidation,832.0,0
70.0,43197.0,10+ years,Own,17011.0,10.8,Home improvement,776.0,0
-,48428.0,-,Mortgage,15864.0,11.4,Debt consolidation,693.0,0
62.0,53157.0,1–3 years,Rent,19086.0,13.97,Debt consolidation,699.0,0
44.0,40991.0,-,Mortgage,15994.0,11.9,Home improvement,700.0,0
37.0,56312.0,10+ years,-,10294.0,12.05,Debt consolidation,803.0,0
27.0,-,10+ years,Own,19409.0,10.34,Debt consolidation,732.0,0
40.0,70459.0,5–10 years,Rent,19139.0,13.12,Other,659.0,0
39.0,81321.0,1–3 years,Rent,8708.0,8.08,Vacation,706.0,0
